generation,buffer_size,accepted,candidate_win_rate,negamax_games,negamax_wins,negamax_losses,negamax_draws,negamax_win_rate,negamax_mean_reward,note
0,1003,True,1.0,20,11,9,0,0.55,0.1,
1,1810,False,0.5,20,9,7,4,0.45,0.1,
2,2578,False,0.5,20,8,6,6,0.4,0.1,
3,3359,False,0.0,20,10,6,4,0.5,0.2,
4,4239,False,0.5,20,9,9,2,0.45,0.0,
5,5029,False,0.5,20,9,5,6,0.45,0.2,
6,5814,False,0.5,20,7,10,3,0.35,-0.15,
7,6452,False,0.0,20,7,9,4,0.35,-0.1,
8,7182,False,0.0,20,9,8,3,0.45,0.05,
9,7890,False,0.0,20,6,10,4,0.3,-0.2,
10,8661,False,0.0,20,12,5,3,0.6,0.35,
11,9462,False,0.5,20,9,8,3,0.45,0.05,
12,10134,False,0.5,20,9,6,5,0.45,0.15,
13,10841,True,1.0,20,10,6,4,0.5,0.2,
14,11653,False,0.5,20,11,6,3,0.55,0.25,
15,12423,False,0.0,20,10,8,2,0.5,0.1,
16,13329,False,0.0,20,15,4,1,0.75,0.55,
17,14237,False,0.5,20,11,5,4,0.55,0.3,
18,15176,False,0.5,20,8,3,9,0.4,0.25,
19,16085,False,0.5,20,8,3,9,0.4,0.25,
20,17070,False,0.5,20,12,5,3,0.6,0.35,
21,18028,False,0.0,20,11,5,4,0.55,0.3,
22,18869,False,0.0,20,10,8,2,0.5,0.1,
23,19678,True,1.0,20,12,4,4,0.6,0.4,
24,20524,False,0.0,20,10,6,4,0.5,0.2,
25,21430,False,0.5,20,7,9,4,0.35,-0.1,
26,22232,False,0.5,20,10,9,1,0.5,0.05,
27,23196,False,0.5,20,10,7,3,0.5,0.15,
28,24140,False,0.5,20,15,2,3,0.75,0.65,
29,25092,False,0.5,20,8,8,4,0.4,0.0,
