generation,buffer_size,accepted,candidate_win_rate,negamax_games,negamax_wins,negamax_losses,negamax_draws,negamax_win_rate,negamax_mean_reward,note
0,26471,False,0.5,30,14,9,7,0.4666666666666667,0.16666666666666666,
1,27955,False,0.0,30,17,5,8,0.5666666666666667,0.4,
2,29312,False,0.0,30,15,8,7,0.5,0.23333333333333334,
3,30599,False,0.5,30,15,9,6,0.5,0.2,
4,31975,True,1.0,30,22,4,4,0.7333333333333333,0.6,
5,33534,False,0.0,30,20,5,5,0.6666666666666666,0.5,
6,35108,False,0.5,30,23,5,2,0.7666666666666667,0.6,
7,36608,False,0.5,30,18,8,4,0.6,0.3333333333333333,
8,38049,True,1.0,30,19,5,6,0.6333333333333333,0.4666666666666667,
9,39515,True,1.0,30,19,4,7,0.6333333333333333,0.5,
10,40993,False,0.5,30,17,4,9,0.5666666666666667,0.43333333333333335,
11,42458,False,0.5,30,19,2,9,0.6333333333333333,0.5666666666666667,
12,44007,False,0.5,30,20,3,7,0.6666666666666666,0.5666666666666667,
13,45650,True,1.0,30,13,9,8,0.43333333333333335,0.13333333333333333,
14,47321,False,0.5,30,14,7,9,0.4666666666666667,0.23333333333333334,
15,48708,False,0.5,30,16,5,9,0.5333333333333333,0.36666666666666664,
16,50383,False,0.5,30,19,7,4,0.6333333333333333,0.4,
17,51979,True,1.0,30,18,3,9,0.6,0.5,
18,53509,False,0.0,30,21,4,5,0.7,0.5666666666666667,
19,55094,False,0.0,30,17,4,9,0.5666666666666667,0.43333333333333335,
20,56775,False,0.5,30,21,5,4,0.7,0.5333333333333333,
21,58253,False,0.0,30,24,3,3,0.8,0.7,
22,59914,False,0.5,30,17,4,9,0.5666666666666667,0.43333333333333335,
23,61484,True,1.0,30,19,5,6,0.6333333333333333,0.4666666666666667,
24,63075,False,0.0,30,19,5,6,0.6333333333333333,0.4666666666666667,
25,64721,False,0.5,30,15,8,7,0.5,0.23333333333333334,
26,66371,False,0.0,30,18,4,8,0.6,0.4666666666666667,
27,68036,False,0.0,30,19,5,6,0.6333333333333333,0.4666666666666667,
28,69554,False,0.5,30,20,5,5,0.6666666666666666,0.5,
29,71095,False,0.5,30,14,5,11,0.4666666666666667,0.3,
30,72737,False,0.5,30,14,7,9,0.4666666666666667,0.23333333333333334,
31,74319,False,0.5,30,15,7,8,0.5,0.26666666666666666,
32,75940,False,0.5,30,17,6,7,0.5666666666666667,0.36666666666666664,
33,77710,True,1.0,30,23,3,4,0.7666666666666667,0.6666666666666666,
34,79340,True,1.0,30,21,4,5,0.7,0.5666666666666667,
35,81031,False,0.5,30,18,5,7,0.6,0.43333333333333335,
36,82693,True,1.0,30,27,2,1,0.9,0.8333333333333334,
37,84301,False,0.5,30,25,2,3,0.8333333333333334,0.7666666666666667,
38,85952,False,0.0,30,28,1,1,0.9333333333333333,0.9,
39,87498,False,0.5,30,26,3,1,0.8666666666666667,0.7666666666666667,
40,89061,True,1.0,30,18,6,6,0.6,0.4,
41,90892,False,0.5,30,20,1,9,0.6666666666666666,0.6333333333333333,
42,92556,False,0.5,30,24,4,2,0.8,0.6666666666666666,
43,94237,False,0.0,30,21,1,8,0.7,0.6666666666666666,
44,95941,False,0.5,30,19,3,8,0.6333333333333333,0.5333333333333333,
45,97691,False,0.5,30,24,2,4,0.8,0.7333333333333333,
46,99254,False,0.0,30,18,3,9,0.6,0.5,
47,100985,False,0.5,30,20,1,9,0.6666666666666666,0.6333333333333333,
48,102647,False,0.5,30,22,4,4,0.7333333333333333,0.6,
49,104444,False,0.0,30,17,5,8,0.5666666666666667,0.4,
50,106086,False,0.0,30,20,4,6,0.6666666666666666,0.5333333333333333,
51,107798,False,0.5,30,22,5,3,0.7333333333333333,0.5666666666666667,
52,109524,True,1.0,30,19,7,4,0.6333333333333333,0.4,
53,111191,False,0.5,30,20,6,4,0.6666666666666666,0.4666666666666667,
54,112884,False,0.5,30,21,1,8,0.7,0.6666666666666666,
55,114521,False,0.0,30,21,2,7,0.7,0.6333333333333333,
56,116285,False,0.0,30,21,2,7,0.7,0.6333333333333333,
57,118028,False,0.0,30,19,1,10,0.6333333333333333,0.6,
58,119701,True,1.0,30,25,1,4,0.8333333333333334,0.8,
59,121479,False,0.5,30,23,2,5,0.7666666666666667,0.7,
