episode,epsilon,winner,replay_size,mean_loss
0.0,1.0,1.0,23.0,0.0
1.0,0.9999524976248813,1.0,50.0,0.0
2.0,0.9999049952497625,1.0,89.0,0.0
3.0,0.9998574928746438,1.0,104.0,0.0
4.0,0.9998099904995249,2.0,128.0,0.0
5.0,0.9997624881244062,1.0,147.0,0.0
6.0,0.9997149857492874,1.0,174.0,0.0
7.0,0.9996674833741687,1.0,193.0,0.0
8.0,0.9996199809990499,2.0,229.0,0.0
9.0,0.9995724786239313,1.0,238.0,0.0
10.0,0.9995249762488125,2.0,266.0,0.0
11.0,0.9994774738736937,1.0,281.0,0.0
12.0,0.9994299714985749,2.0,311.0,0.0
13.0,0.9993824691234562,2.0,333.0,0.0
14.0,0.9993349667483374,1.0,364.0,0.0
15.0,0.9992874643732187,2.0,396.0,0.0
16.0,0.9992399619981,2.0,422.0,0.0
17.0,0.9991924596229812,1.0,435.0,0.0
18.0,0.9991449572478623,1.0,454.0,0.0
19.0,0.9990974548727436,1.0,481.0,0.0
20.0,0.9990499524976248,2.0,513.0,0.0
21.0,0.9990024501225061,1.0,538.0,0.0
22.0,0.9989549477473874,1.0,561.0,0.0
23.0,0.9989074453722686,1.0,586.0,0.0
24.0,0.9988599429971499,2.0,602.0,0.0
25.0,0.998812440622031,1.0,613.0,0.0
26.0,0.9987649382469124,2.0,629.0,0.0
27.0,0.9987174358717936,2.0,653.0,0.0
28.0,0.9986699334966749,2.0,667.0,0.0
29.0,0.9986224311215561,2.0,685.0,0.0
30.0,0.9985749287464374,2.0,707.0,0.0
31.0,0.9985274263713186,1.0,730.0,0.0
32.0,0.9984799239961998,1.0,749.0,0.0
33.0,0.998432421621081,1.0,774.0,0.0
34.0,0.9983849192459623,1.0,789.0,0.0
35.0,0.9983374168708435,2.0,805.0,0.0
36.0,0.9982899144957248,2.0,823.0,0.0
37.0,0.998242412120606,1.0,850.0,0.0
38.0,0.9981949097454873,2.0,882.0,0.0
39.0,0.9981474073703684,1.0,903.0,0.0
40.0,0.9980999049952497,1.0,934.0,0.0
41.0,0.998052402620131,1.0,949.0,0.0
42.0,0.9980049002450122,2.0,969.0,0.0
43.0,0.9979573978698935,1.0,984.0,0.0
44.0,0.9979098954947748,1.0,1011.0,0.023124961104864877
45.0,0.9978623931196561,1.0,1034.0,0.02026389838884706
46.0,0.9978148907445372,1.0,1059.0,0.011829214598983527
47.0,0.9977673883694185,2.0,1081.0,0.007240285165607929
48.0,0.9977198859942997,2.0,1095.0,0.006298152413884444
49.0,0.997672383619181,1.0,1118.0,0.004472303072638486
50.0,0.9976248812440622,2.0,1148.0,0.003012362087611109
51.0,0.9975773788689435,2.0,1166.0,0.0016136356280185282
52.0,0.9975298764938247,2.0,1184.0,0.0014343216672487971
53.0,0.9974823741187059,1.0,1199.0,0.0010519606856784472
54.0,0.9974348717435871,2.0,1231.0,0.001381164905069454
55.0,0.9973873693684684,2.0,1255.0,0.0012563832739639718
56.0,0.9973398669933496,1.0,1270.0,0.0009371415828354657
57.0,0.9972923646182309,2.0,1288.0,0.000794039896896316
58.0,0.9972448622431122,1.0,1299.0,0.001440071236257526
59.0,0.9971973598679934,2.0,1337.0,0.0010198490819771234
60.0,0.9971498574928745,2.0,1359.0,0.0012811057703484867
61.0,0.9971023551177559,2.0,1383.0,0.0011622086082449339
62.0,0.9970548527426372,2.0,1393.0,0.000964749074773863
63.0,0.9970073503675184,2.0,1409.0,0.000886346226252499
64.0,0.9969598479923997,2.0,1435.0,0.0006243390923303266
65.0,0.9969123456172809,1.0,1458.0,0.0012535795103758574
66.0,0.9968648432421622,2.0,1480.0,0.0005172431119717658
67.0,0.9968173408670433,2.0,1488.0,0.00029915869527030736
68.0,0.9967698384919246,1.0,1525.0,0.01636853004055337
69.0,0.9967223361168058,1.0,1536.0,0.014480594460937109
70.0,0.9966748337416871,2.0,1578.0,0.0056035885299068125
71.0,0.9966273313665683,1.0,1605.0,0.0025756258681347527
72.0,0.9965798289914496,2.0,1625.0,0.0029605387360788884
73.0,0.9965323266163308,2.0,1633.0,0.001063907431671396
74.0,0.996484824241212,2.0,1647.0,0.0012157684291845986
75.0,0.9964373218660932,1.0,1674.0,0.0019049333468838423
76.0,0.9963898194909745,1.0,1693.0,0.0012948203948326409
77.0,0.9963423171158557,1.0,1708.0,0.001504096780748417
78.0,0.996294814740737,2.0,1718.0,0.0010017360153142362
79.0,0.9962473123656184,1.0,1737.0,0.0016931334256170022
80.0,0.9961998099904996,2.0,1757.0,0.0011354921793099494
81.0,0.9961523076153808,1.0,1766.0,0.0007700280047073546
82.0,0.996104805240262,2.0,1786.0,0.001429190758790355
83.0,0.9960573028651433,1.0,1815.0,0.0012354527395379183
84.0,0.9960098004900245,2.0,1841.0,0.0011442045517749367
85.0,0.9959622981149058,2.0,1869.0,0.0016189434536499903
86.0,0.995914795739787,1.0,1880.0,0.0015310617110861297
87.0,0.9958672933646683,1.0,1903.0,0.001206553466466215
88.0,0.9958197909895494,2.0,1919.0,0.0005853242819284787
89.0,0.9957722886144307,1.0,1930.0,0.0005808225727047433
90.0,0.9957247862393119,1.0,1941.0,0.001201804047344591
91.0,0.9956772838641932,1.0,1958.0,0.0012842741972931167
92.0,0.9956297814890744,1.0,1985.0,0.0011442772045955753
93.0,0.9955822791139557,2.0,2009.0,0.008409942626409853
94.0,0.995534776738837,1.0,2032.0,0.010731108486652374
95.0,0.9954872743637181,2.0,2054.0,0.006879922076636417
96.0,0.9954397719885995,1.0,2075.0,0.0036190861969121863
97.0,0.9953922696134807,2.0,2099.0,0.002650699937172855
98.0,0.995344767238362,2.0,2129.0,0.0012975616749220837
99.0,0.9952972648632432,1.0,2144.0,0.001802868446490417
100.0,0.9952497624881245,1.0,2169.0,0.0008071149233728648
