timesteps,checkpoint,negamax_games,negamax_wins,negamax_losses,negamax_draws,negamax_win_rate,negamax_mean_reward
50000,runs/ppo/checkpoints/ppo_50000.zip,20,17,1,2,0.85,0.8
100000,runs/ppo/checkpoints/ppo_100000.zip,20,15,1,4,0.75,0.7
150000,runs/ppo/checkpoints/ppo_150000.zip,20,14,1,5,0.7,0.65
200000,runs/ppo/checkpoints/ppo_200000.zip,20,15,2,3,0.75,0.65
250000,runs/ppo/checkpoints/ppo_250000.zip,20,19,1,0,0.95,0.9
300000,runs/ppo/checkpoints/ppo_300000.zip,20,14,5,1,0.7,0.45
350000,runs/ppo/checkpoints/ppo_350000.zip,20,17,1,2,0.85,0.8
400000,runs/ppo/checkpoints/ppo_400000.zip,20,15,3,2,0.75,0.6
450000,runs/ppo/checkpoints/ppo_450000.zip,20,14,1,5,0.7,0.65
500000,runs/ppo/checkpoints/ppo_500000.zip,20,15,5,0,0.75,0.5
600000,runs/ppo/checkpoints/ppo_600000.zip,30,27,2,1,0.9,0.8333333333333334
700000,runs/ppo/checkpoints/ppo_700000.zip,30,27,1,2,0.9,0.8666666666666667
800000,runs/ppo/checkpoints/ppo_800000.zip,30,25,3,2,0.8333333333333334,0.7333333333333333
900000,runs/ppo/checkpoints/ppo_900000.zip,30,27,2,1,0.9,0.8333333333333334
1000000,runs/ppo/checkpoints/ppo_1000000.zip,30,22,7,1,0.7333333333333333,0.5
1100000,runs/ppo/checkpoints/ppo_1100000.zip,30,27,2,1,0.9,0.8333333333333334
1200000,runs/ppo/checkpoints/ppo_1200000.zip,30,20,5,5,0.6666666666666666,0.5
1300000,runs/ppo/checkpoints/ppo_1300000.zip,30,21,7,2,0.7,0.4666666666666667
1400000,runs/ppo/checkpoints/ppo_1400000.zip,30,22,4,4,0.7333333333333333,0.6
1500000,runs/ppo/checkpoints/ppo_1500000.zip,30,22,4,4,0.7333333333333333,0.6
