episode,epsilon,winner,q_states
0.0,1.0,1.0,13.0
1.0,0.9999524976248813,2.0,24.0
2.0,0.9999049952497625,1.0,30.0
3.0,0.9998574928746438,1.0,33.0
4.0,0.9998099904995249,2.0,39.0
5.0,0.9997624881244062,1.0,43.0
6.0,0.9997149857492874,2.0,56.0
7.0,0.9996674833741687,1.0,60.0
8.0,0.9996199809990499,1.0,63.0
9.0,0.9995724786239313,1.0,74.0
10.0,0.9995249762488125,1.0,83.0
11.0,0.9994774738736937,2.0,92.0
12.0,0.9994299714985749,2.0,100.0
13.0,0.9993824691234562,2.0,109.0
14.0,0.9993349667483374,2.0,120.0
15.0,0.9992874643732187,2.0,125.0
16.0,0.9992399619981,2.0,133.0
17.0,0.9991924596229812,1.0,134.0
18.0,0.9991449572478623,1.0,140.0
19.0,0.9990974548727436,1.0,142.0
20.0,0.9990499524976248,2.0,148.0
21.0,0.9990024501225061,2.0,152.0
22.0,0.9989549477473874,2.0,157.0
23.0,0.9989074453722686,2.0,159.0
24.0,0.9988599429971499,2.0,165.0
25.0,0.998812440622031,1.0,176.0
26.0,0.9987649382469124,1.0,186.0
27.0,0.9987174358717936,1.0,198.0
28.0,0.9986699334966749,1.0,206.0
29.0,0.9986224311215561,1.0,208.0
30.0,0.9985749287464374,1.0,215.0
31.0,0.9985274263713186,2.0,219.0
32.0,0.9984799239961998,1.0,223.0
33.0,0.998432421621081,2.0,234.0
34.0,0.9983849192459623,1.0,240.0
35.0,0.9983374168708435,1.0,249.0
36.0,0.9982899144957248,2.0,257.0
37.0,0.998242412120606,2.0,264.0
38.0,0.9981949097454873,2.0,269.0
39.0,0.9981474073703684,1.0,271.0
40.0,0.9980999049952497,1.0,277.0
41.0,0.998052402620131,1.0,279.0
42.0,0.9980049002450122,2.0,291.0
43.0,0.9979573978698935,1.0,295.0
44.0,0.9979098954947748,2.0,304.0
45.0,0.9978623931196561,1.0,304.0
46.0,0.9978148907445372,1.0,310.0
47.0,0.9977673883694185,2.0,315.0
48.0,0.9977198859942997,2.0,322.0
49.0,0.997672383619181,2.0,328.0
50.0,0.9976248812440622,2.0,335.0
51.0,0.9975773788689435,1.0,337.0
52.0,0.9975298764938247,1.0,340.0
53.0,0.9974823741187059,2.0,342.0
54.0,0.9974348717435871,1.0,348.0
55.0,0.9973873693684684,2.0,349.0
56.0,0.9973398669933496,1.0,360.0
57.0,0.9972923646182309,2.0,368.0
58.0,0.9972448622431122,1.0,374.0
59.0,0.9971973598679934,1.0,378.0
60.0,0.9971498574928745,1.0,381.0
61.0,0.9971023551177559,2.0,391.0
62.0,0.9970548527426372,2.0,401.0
63.0,0.9970073503675184,2.0,403.0
64.0,0.9969598479923997,1.0,411.0
65.0,0.9969123456172809,1.0,418.0
66.0,0.9968648432421622,1.0,424.0
67.0,0.9968173408670433,1.0,424.0
68.0,0.9967698384919246,2.0,430.0
69.0,0.9967223361168058,2.0,438.0
70.0,0.9966748337416871,1.0,446.0
71.0,0.9966273313665683,2.0,455.0
72.0,0.9965798289914496,2.0,462.0
73.0,0.9965323266163308,2.0,475.0
74.0,0.996484824241212,1.0,481.0
75.0,0.9964373218660932,1.0,491.0
76.0,0.9963898194909745,2.0,503.0
77.0,0.9963423171158557,1.0,510.0
78.0,0.996294814740737,1.0,514.0
79.0,0.9962473123656184,1.0,520.0
80.0,0.9961998099904996,2.0,525.0
81.0,0.9961523076153808,1.0,528.0
82.0,0.996104805240262,2.0,540.0
83.0,0.9960573028651433,2.0,547.0
84.0,0.9960098004900245,2.0,553.0
85.0,0.9959622981149058,2.0,558.0
86.0,0.995914795739787,1.0,563.0
87.0,0.9958672933646683,2.0,565.0
88.0,0.9958197909895494,1.0,577.0
89.0,0.9957722886144307,1.0,577.0
90.0,0.9957247862393119,2.0,584.0
91.0,0.9956772838641932,2.0,596.0
92.0,0.9956297814890744,1.0,600.0
93.0,0.9955822791139557,2.0,602.0
94.0,0.995534776738837,1.0,606.0
95.0,0.9954872743637181,1.0,608.0
96.0,0.9954397719885995,1.0,614.0
97.0,0.9953922696134807,1.0,618.0
98.0,0.995344767238362,1.0,627.0
99.0,0.9952972648632432,1.0,628.0
100.0,0.9952497624881245,1.0,635.0
101.0,0.9952022601130057,1.0,643.0
102.0,0.9951547577378869,1.0,649.0
103.0,0.9951072553627681,1.0,653.0
104.0,0.9950597529876494,1.0,655.0
105.0,0.9950122506125306,1.0,655.0
106.0,0.9949647482374119,1.0,661.0
107.0,0.9949172458622931,1.0,664.0
